pin14,street_number,street_name,dir,type,sq_ft,ward,community_area,zoning_classification
20163180320000,647,61ST,W,PL,3364,16,ENGLEWOOD,RS-3
20174110010000,6001,CARPENTER,S,ST,3136,16,ENGLEWOOD,RS-3
20162190330000,5849,LA SALLE,S,ST,3522,20,ENGLEWOOD,RS-3
20292050350000,7128,PEORIA,S,ST,3123,17,ENGLEWOOD,RS-3
20204090320000,6826,ABERDEEN,S,ST,3118,17,ENGLEWOOD,RS-3
20172180240000,5759,ABERDEEN,S,ST,2956,16,ENGLEWOOD,RS-3
20173200310000,6116,ADA,S,ST,2907,16,WEST ENGLEWOOD,RT-4
20211260320000,6634,PARNELL,S,AVE,2510,6,ENGLEWOOD,RT-4
20162000530000,359,GARFIELD,W,BLVD,4566,3,ENGLEWOOD,RS-3
20213240130000,7039,LOWE,S,AVE,6216,6,ENGLEWOOD,RS-3
20162200370000,5800,LAFAYETTE,S,AVE,2695,20,WASHINGTON PARK,RS-3
20074170220000,5353,WINCHESTER,S,AVE,2993,16,NEW CITY,RS-3
20073020240000,2148,51ST,W,PL,3042,16,NEW CITY,RS-3
20222270310000,6614,ST LAWRENCE,S,AVE,3034,20,WOODLAWN,RT-4
20083020260000,5114,BISHOP,S,ST,3119,16,NEW CITY,RS-3
20171090150000,5639,JUSTINE,S,ST,3075,16,WEST ENGLEWOOD,RS-3
20291040220000,1227,71ST,W,ST,3104,17,WEST ENGLEWOOD,RS-3
20084030230000,5145,CARPENTER,S,ST,3132,16,NEW CITY,RS-3
20174170360000,6150,ABERDEEN,S,ST,3129,16,ENGLEWOOD,RS-3
20184040110000,5729,WOOD,S,ST,3694,15,WEST ENGLEWOOD,RS-3
20084100070000,5215,ABERDEEN,S,ST,2977,16,NEW CITY,RS-3
20083030270000,5159,BISHOP,S,ST,4030,16,NEW CITY,RS-3
20163090090000,639,60TH,W,ST,4397,20,ENGLEWOOD,RS-3
20153100040000,6015,PRAIRIE,S,AVE,10373,20,WASHINGTON PARK,RM-5
20174140330000,6028,GREEN,S,ST,2297,16,ENGLEWOOD,RS-3
20094170580000,5360,WELLS,S,ST,4439,3,FULLER PARK,RS-3
20084030170000,5129,CARPENTER,S,ST,3129,16,NEW CITY,RS-3
20162000070000,5527,STEWART,S,AVE,2930,3,ENGLEWOOD,RS-3
20144120200000,6236,KIMBARK,S,AVE,8260,20,WOODLAWN,RM-5
20184110140000,6035,HONORE,S,ST,3107,15,WEST ENGLEWOOD,RS-3
20151110190000,5635,CALUMET,S,AVE,6713,20,WASHINGTON PARK,RM-5
20174170100000,6119,MAY,S,ST,3106,16,ENGLEWOOD,RS-3
20193160260000,2048,68TH,W,PL,3133,17,WEST ENGLEWOOD,RS-2
20153010090000,5940,STATE,S,ST,10069,20,WASHINGTON PARK,RM-5
20081290320000,5034,THROOP,S,ST,3109,16,NEW CITY,RS-3
20103060250000,5219,CALUMET,S,AVE,5878,3,WASHINGTON PARK,RM-5
20201090130000,6431,JUSTINE,S,ST,3095,17,WEST ENGLEWOOD,RS-3
20084220220000,817,53RD,W,PL,2785,20,NEW CITY,RS-3
20162060740000,5622,LAFAYETTE,S,AVE,2459,3,WASHINGTON PARK,RS-3
20164150200000,327,61ST,W,ST,4449,20,ENGLEWOOD,RS-3
20231110080000,6449,MINERVA,S,AVE,3730,20,WOODLAWN,RT-4
20174160340000,6136,MAY,S,ST,3120,16,ENGLEWOOD,RS-3
20202020110000,6321,ABERDEEN,S,ST,3118,16,ENGLEWOOD,RS-3
20083170210000,5404,LAFLIN,S,ST,3113,16,NEW CITY,RS-3
20231060140000,6411,ELLIS,S,AVE,1977,20,WOODLAWN,RT-4
20204190070000,1011,69TH,W,ST,2616,17,ENGLEWOOD,RS-3
20091120450000,5022,UNION,S,AVE,2828,3,NEW CITY,RS-3
20212000090000,6345,STEWART,S,AVE,5731,20,ENGLEWOOD,RM-5
20282020140000,7153,PRINCETON,S,AVE,6208,6,GREATER GRAND CROSSING,RT-4
20162070090000,5527,LAFAYETTE,S,AVE,2503,3,WASHINGTON PARK,RS-3
20162200270000,5740,LAFAYETTE,S,AVE,5166,20,WASHINGTON PARK,RS-3
20162170020000,5803,PRINCETON,S,AVE,3080,20,ENGLEWOOD,RS-3
20103110190000,5310,PRAIRIE,S,AVE,8155,3,WASHINGTON PARK,RM-5
20103040290000,5229,INDIANA,S,AVE,4073,3,WASHINGTON PARK,RM-5
20232130320000,6414,DORCHESTER,S,AVE,4155,20,WOODLAWN,RS-2
20172210140000,5743,SANGAMON,S,ST,3721,16,ENGLEWOOD,RS-3
20163250160000,501,ENGLEWOOD,W,AVE,5957,20,ENGLEWOOD,RS-3
20103030230000,5252,INDIANA,S,AVE,3883,3,WASHINGTON PARK,RM-5
20101230240000,5031,CALUMET,S,AVE,2935,3,GRAND BOULEVARD,RM-5
20231050270000,6431,INGLESIDE,S,AVE,6224,20,WOODLAWN,RT-4
20174010360000,5928,ABERDEEN,S,ST,3104,16,ENGLEWOOD,RS-3
20231040160000,6359,DREXEL,S,AVE,2758,20,WOODLAWN,RT-4
20083030180000,5133,BISHOP,S,ST,3113,16,NEW CITY,RS-3
20151190380000,23,59TH,E,ST,4413,20,WASHINGTON PARK,RT-4
20222130350000,640,65TH,E,ST,2882,20,WOODLAWN,RT-4
20162200500000,5838,LAFAYETTE,S,AVE,2959,20,WASHINGTON PARK,RS-3
