pin14,city_owned,street_number,street_dir,street_name,street_type,zoning_classification,ward,residential,sq_ft,zip_code,alderman_hold
16131210200000,t,318,S,RICHMOND,ST,RT-4,,t,3189,,
16144050100000,t,3433,W,FLOURNOY,ST,RT-4,,t,3868,,
16131210060000,t,2945,W,JACKSON,BLVD,RT-4,,t,3124,,
16131210020000,t,2957,W,JACKSON,BLVD,RT-4,,t,3238,,
16131140470000,t,3034,W,JACKSON,BLVD,RT-4,,t,2009,,
16131130360000,t,3108,W,JACKSON,BLVD,RM-5,,t,3016,,
16131120280000,t,3124,W,JACKSON,BLVD,RM-5,,t,3543,,
16131120270000,t,3140,W,JACKSON,BLVD,RM-5,,t,1772,,
16132170050000,t,2647,WEST,JACKSON,BOULEVARD,RT-4,,t,1906,60612,
16123120350000,t,216,N,ALBANY,AVE,RT-4,,t,1796,,
16123060240000,t,311,N,SACRAMENTO,AVE,RT-4,,t,6011,,
16131010080000,t,13,S,ALBANY,AVE,RT-4,,t,2154,,
16131130200000,t,142,S,ALBANY,AVE,RT-4,,t,3906,,
16131010100000,t,17,S,ALBANY,AVE,RT-4,,t,2154,,
16131130280000,t,210,S,ALBANY,AVE,RT-4,,t,3048,,
16123130140000,t,3031,WEST,WALNUT,STREET,RT-4,,t,3751,60612,
16123060480000,t,2902,WEST,FULTON,STREET,RT-4,,t,2655,60612,
16131010160000,t,33,S,ALBANY,AVE,RT-4,,t,2152,,
16133090020000,t,745,S,ALBANY,AVE,RT-4,,t,1564,,
16144040050000,t,715,S,CENTRAL PARK,AVE,RT-4,,t,3750,,
16131150340000,t,142,S,SACRAMENTO,BLVD,RT-4,,t,3094,,
16131200180000,t,314,S,SACRAMENTO,BLVD,RT-4,,t,3048,,
16133160230000,t,3115,W,ARTHINGTON,ST,RT-4,,t,3126,,
16133120370000,t,3118,W,ARTHINGTON,ST,RT-4,,t,3131,,
16133160210000,t,3119,W,ARTHINGTON,ST,RT-4,,t,3130,,
16133160140000,t,3137,W,ARTHINGTON,ST,RT-4,,t,3125,,
16133070410000,t,2816,W,LEXINGTON,ST,RT-4,,t,3124,,
16133110140000,t,2821,W,LEXINGTON,ST,RT-4,,t,2998,,
16133070360000,t,2828,W,LEXINGTON,ST,RT-4,,t,3106,,
16133070330000,t,2836,W,LEXINGTON,ST,RT-4,,t,3125,,
16133100120000,t,2927,W,LEXINGTON,ST,RT-4,,t,3168,,
